max_k,cs,gap,time
3,16,2.4672,1.52
3,16,2.6678,1.02
3,16,1.7221,1.02
3,16,1.6729,1.03
3,16,2.0972,1.02
3,16,2.0296,1.02
3,16,2.3037,1.02
3,16,2.3018,1.02
3,16,2.1392,1.02
3,16,2.1571,1.02
4,16,1.9734,1.02
4,16,1.9406,1.03
4,16,1.7266,1.52
4,16,2.0234,1.03
4,16,2.8657,1.02
4,16,1.9287,1.02
4,16,2.3774,1.02
4,16,2.5526,1.02
4,16,1.856,1.02
4,16,2.6269,1.02
3,32,2.0756,1.02
3,32,2.7184,1.02
3,32,2.0398,1.02
3,32,2.8727,1.02
3,32,2.1244,1.02
3,32,1.8695,1.53
3,32,1.6016,1.02
3,32,2.0518,1.02
3,32,1.7968,1.02
3,32,2.5614,1.02
4,32,2.3425,1.02
4,32,1.7365,1.02
4,32,2.6106,1.02
4,32,2.5563,1.02
4,32,1.9518,1.02
4,32,2.2817,1.02
4,32,2.0618,1.02
4,32,2.1862,1.52
4,32,1.1441,1.02
4,32,1.6593,1.02
